id_movimentacao,id_produto,data_movimentacao,tipo_movimentacao,quantidade_movimentada
00000000-0000-4000-a000-000000000029,00000000-0000-4000-8000-000000000010,2026-04-30T11:45:00-03:00,saida,40
00000000-0000-4000-a000-000000000030,00000000-0000-4000-8000-000000000010,2026-05-20T11:45:00-03:00,saida,30
00000000-0000-4000-a000-000000000031,00000000-0000-4000-8000-000000000011,2026-04-01T08:50:00-03:00,entrada,105
00000000-0000-4000-a000-000000000032,00000000-0000-4000-8000-000000000011,2026-04-30T11:50:00-03:00,saida,40
00000000-0000-4000-a000-000000000033,00000000-0000-4000-8000-000000000011,2026-05-20T11:50:00-03:00,saida,30
00000000-0000-4000-a000-000000000034,00000000-0000-4000-8000-000000000012,2026-04-01T08:55:00-03:00,entrada,130
00000000-0000-4000-a000-000000000035,00000000-0000-4000-8000-000000000012,2026-04-30T11:55:00-03:00,saida,45
00000000-0000-4000-a000-000000000036,00000000-0000-4000-8000-000000000012,2026-05-20T11:55:00-03:00,saida,40
00000000-0000-4000-a000-000000000037,00000000-0000-4000-8000-000000000013,2026-04-01T09:00:00-03:00,entrada,100
00000000-0000-4000-a000-000000000038,00000000-0000-4000-8000-000000000013,2026-04-30T12:00:00-03:00,saida,35
00000000-0000-4000-a000-000000000039,00000000-0000-4000-8000-000000000013,2026-05-20T12:00:00-03:00,saida,25
00000000-0000-4000-a000-000000000040,00000000-0000-4000-8000-000000000014,2026-04-01T09:05:00-03:00,entrada,75
00000000-0000-4000-a000-000000000041,00000000-0000-4000-8000-000000000014,2026-04-30T12:05:00-03:00,saida,25
00000000-0000-4000-a000-000000000042,00000000-0000-4000-8000-000000000014,2026-05-20T12:05:00-03:00,saida,20
00000000-0000-4000-a000-000000000043,00000000-0000-4000-8000-000000000015,2026-04-01T09:10:00-03:00,entrada,60
00000000-0000-4000-a000-000000000044,00000000-0000-4000-8000-000000000015,2026-04-30T12:10:00-03:00,saida,20
00000000-0000-4000-a000-000000000045,00000000-0000-4000-8000-000000000015,2026-05-20T12:10:00-03:00,saida,15
00000000-0000-4000-a000-000000000046,00000000-0000-4000-8000-000000000016,2026-04-01T09:15:00-03:00,entrada,135
00000000-0000-4000-a000-000000000047,00000000-0000-4000-8000-000000000016,2026-04-30T12:15:00-03:00,saida,25
00000000-0000-4000-a000-000000000048,00000000-0000-4000-8000-000000000016,2026-05-20T12:15:00-03:00,saida,20
00000000-0000-4000-a000-000000000049,00000000-0000-4000-8000-000000000017,2026-04-01T09:20:00-03:00,entrada,80
00000000-0000-4000-a000-000000000050,00000000-0000-4000-8000-000000000017,2026-04-30T12:20:00-03:00,saida,14
00000000-0000-4000-a000-000000000051,00000000-0000-4000-8000-000000000017,2026-05-20T12:20:00-03:00,saida,11
00000000-0000-4000-a000-000000000052,00000000-0000-4000-8000-000000000018,2026-04-01T09:25:00-03:00,entrada,105
00000000-0000-4000-a000-000000000053,00000000-0000-4000-8000-000000000018,2026-04-30T12:25:00-03:00,saida,20
00000000-0000-4000-a000-000000000054,00000000-0000-4000-8000-000000000018,2026-05-20T12:25:00-03:00,saida,15
00000000-0000-4000-a000-000000000055,00000000-0000-4000-8000-000000000019,2026-04-01T09:30:00-03:00,entrada,80
00000000-0000-4000-a000-000000000056,00000000-0000-4000-8000-000000000019,2026-04-30T12:30:00-03:00,saida,14
00000000-0000-4000-a000-000000000057,00000000-0000-4000-8000-000000000019,2026-05-20T12:30:00-03:00,saida,11
00000000-0000-4000-a000-000000000058,00000000-0000-4000-8000-000000000020,2026-04-01T09:35:00-03:00,entrada,110
00000000-0000-4000-a000-000000000059,00000000-0000-4000-8000-000000000020,2026-04-30T12:35:00-03:00,saida,18
00000000-0000-4000-a000-000000000060,00000000-0000-4000-8000-000000000020,2026-05-20T12:35:00-03:00,saida,12
00000000-0000-4000-a000-000000000061,00000000-0000-4000-8000-000000000021,2026-04-01T09:40:00-03:00,entrada,85
00000000-0000-4000-a000-000000000062,00000000-0000-4000-8000-000000000021,2026-04-30T12:40:00-03:00,saida,22
00000000-0000-4000-a000-000000000063,00000000-0000-4000-8000-000000000021,2026-05-20T12:40:00-03:00,saida,18
00000000-0000-4000-a000-000000000064,00000000-0000-4000-8000-000000000022,2026-04-01T09:45:00-03:00,entrada,75
00000000-0000-4000-a000-000000000065,00000000-0000-4000-8000-000000000022,2026-04-30T12:45:00-03:00,saida,20
00000000-0000-4000-a000-000000000066,00000000-0000-4000-8000-000000000022,2026-05-20T12:45:00-03:00,saida,15
00000000-0000-4000-a000-000000000067,00000000-0000-4000-8000-000000000023,2026-04-01T09:50:00-03:00,entrada,55
00000000-0000-4000-a000-000000000068,00000000-0000-4000-8000-000000000023,2026-04-30T12:50:00-03:00,saida,15
00000000-0000-4000-a000-000000000069,00000000-0000-4000-8000-000000000023,2026-05-20T12:50:00-03:00,saida,10
00000000-0000-4000-a000-000000000070,00000000-0000-4000-8000-000000000024,2026-04-01T09:55:00-03:00,entrada,32
00000000-0000-4000-a000-000000000071,00000000-0000-4000-8000-000000000024,2026-04-30T12:55:00-03:00,saida,7
00000000-0000-4000-a000-000000000072,00000000-0000-4000-8000-000000000024,2026-05-20T12:55:00-03:00,saida,5
00000000-0000-4000-a000-000000000073,00000000-0000-4000-8000-000000000025,2026-04-01T10:00:00-03:00,entrada,43
00000000-0000-4000-a000-000000000074,00000000-0000-4000-8000-000000000025,2026-04-30T13:00:00-03:00,saida,10
00000000-0000-4000-a000-000000000075,00000000-0000-4000-8000-000000000025,2026-05-20T13:00:00-03:00,saida,8
00000000-0000-4000-a000-000000000076,00000000-0000-4000-8000-000000000026,2026-04-01T10:05:00-03:00,entrada,50
00000000-0000-4000-a000-000000000077,00000000-0000-4000-8000-000000000026,2026-04-30T13:05:00-03:00,saida,12
00000000-0000-4000-a000-000000000078,00000000-0000-4000-8000-000000000026,2026-05-20T13:05:00-03:00,saida,8
00000000-0000-4000-a000-000000000079,00000000-0000-4000-8000-000000000027,2026-04-01T10:10:00-03:00,entrada,28
00000000-0000-4000-a000-000000000080,00000000-0000-4000-8000-000000000027,2026-04-30T13:10:00-03:00,saida,5
00000000-0000-4000-a000-000000000081,00000000-0000-4000-8000-000000000027,2026-05-20T13:10:00-03:00,saida,3
00000000-0000-4000-a000-000000000082,00000000-0000-4000-8000-000000000028,2026-04-01T10:15:00-03:00,entrada,35
00000000-0000-4000-a000-000000000083,00000000-0000-4000-8000-000000000028,2026-04-30T13:15:00-03:00,saida,6
00000000-0000-4000-a000-000000000084,00000000-0000-4000-8000-000000000028,2026-05-20T13:15:00-03:00,saida,4
00000000-0000-4000-a000-000000000085,00000000-0000-4000-8000-000000000029,2026-04-01T10:20:00-03:00,entrada,90
00000000-0000-4000-a000-000000000086,00000000-0000-4000-8000-000000000029,2026-04-30T13:20:00-03:00,saida,25
00000000-0000-4000-a000-000000000087,00000000-0000-4000-8000-000000000029,2026-05-20T13:20:00-03:00,saida,20
00000000-0000-4000-a000-000000000088,00000000-0000-4000-8000-000000000030,2026-04-01T10:25:00-03:00,entrada,70
00000000-0000-4000-a000-000000000089,00000000-0000-4000-8000-000000000030,2026-04-30T13:25:00-03:00,saida,20
00000000-0000-4000-a000-000000000090,00000000-0000-4000-8000-000000000030,2026-05-20T13:25:00-03:00,saida,15
